year,emissions_gtc_wrld
1939,1.209303538692098
1940,1.3215058705722074
1941,1.3512769008174388
1942,1.3459740760217984
1943,1.368733144414169
1944,1.3911271588555858
1945,1.1566043850136238
1946,1.262527870027248
1947,1.3978706891008175
1948,1.4716935907356947
1949,1.4286384013623978
1950,1.6357597245231605
1951,1.7383531174386921
1952,1.7617695455040872
1953,1.8113699768392373
1954,1.8501189356948229
1955,2.0281218166212533
1956,2.1591854354223434
1957,2.2303880027247955
1958,2.2936239929155318
1959,2.4131304280653953
1960,2.5577475942779295
1961,2.5660661136239784
1962,2.6566911891008176
1963,2.7987804877384197
1964,2.9506423896457767
1965,3.0837146920980927
1966,3.233204741144414
1967,3.335979711171662
1968,3.517687335149864
1969,3.75110916893733
1970,4.059282585831063
1971,4.2229609482288835
1972,4.4199324986376025
1973,4.653621825613079
1974,4.63476686920981
1975,4.644822130790192
1976,4.900265081743869
1977,5.039381694822889
1978,5.195576888283379
1979,5.343329081743869
1980,5.311338833787466
1981,5.184444190735694
1982,5.1432589318801085
1983,5.176575356948229
1984,5.356053643051771
1985,5.536099051771118
1986,5.618426065395096
1987,5.794603414168938
1988,6.022179697547684
1989,6.105403956403269
1990,6.198794103542235
1991,6.331907942779291
1992,6.149761384196185
1993,6.213486471389646
1994,6.257379662125341
1995,6.390720558583106
1996,6.581733299727521
1997,6.6214033869209805
1998,6.595714242506813
1999,6.680916155313352
2000,6.875805790190736
2001,6.934892234332425
2002,7.095147542234334
2003,7.456872831062671
2004,7.800417719346049
2005,8.06615182561308
2006,8.333386942779292
2007,8.581400978201636
2008,8.738268122615803
2009,8.612273136239782
2010,9.085367970027248
2011,9.391948514986378
2012,9.5297207493188
2013,9.613903389645776
2014,9.682409523160763
2015,9.672045324250682
2016,9.660070653950955
2017,9.78902934332425
2018,9.98532419346049
2019,10.000681989100817
2020,9.484266784741145
